시군구,단지명,거래금액
경기도 김포시 감정동,삼환,42500.0
경기도 김포시 감정동,쌍용,40000.0
경기도 김포시 감정동,푸른마을(신안),44000.0
경기도 김포시 고촌읍 신곡리,숲속마을대우,66000.0
경기도 김포시 고촌읍 신곡리,숲속마을대우,64000.0
경기도 김포시 고촌읍 신곡리,오룡마을한화,64900.0
경기도 김포시 구래동,한가람마을(우미린),58500.0
경기도 김포시 구래동,한가람마을(우미린),61500.0
경기도 김포시 구래동,한가람마을(우미린),60000.0
경기도 김포시 구래동,한가람마을(우미린),61700.0
경기도 김포시 구래동,한가람마을(우미린),52000.0
경기도 김포시 구래동,한강신도시 반도유보라5차,68750.0
경기도 김포시 북변동,동변마을(동양파라곤),45000.0
경기도 김포시 북변동,풍년마을(삼성),55500.0
경기도 김포시 북변동,풍년마을(신일),54000.0
경기도 김포시 운양동,전원마을(월드3차1단지),47000.0
경기도 김포시 운양동,전원마을(월드4차2단지),49500.0
경기도 김포시 운양동,전원마을(월드4차2단지),53800.0
경기도 김포시 운양동,전원마을(월드4차2단지),49000.0
경기도 김포시 운양동,풍경마을 한강 한라비발디,70000.0
경기도 김포시 운양동,풍경마을 한강 한라비발디,69000.0
경기도 김포시 장기동,고창마을(반도유보라),62000.0
경기도 김포시 장기동,고창마을(이니스더원),52500.0
경기도 김포시 장기동,고창마을(이니스더원),54000.0
경기도 김포시 장기동,청송마을(현대1),49000.0
경기도 김포시 장기동,청송마을(현대3),59000.0
경기도 김포시 장기동,청송마을(현대3),55000.0
경기도 김포시 장기동,청송마을(현대3),51000.0
경기도 김포시 장기동,청송마을중흥에스-클래스,58500.0
경기도 김포시 장기동,초당마을(우남퍼스트빌),69000.0
경기도 김포시 장기동,초당마을(우남퍼스트빌),70000.0
경기도 김포시 장기동,한강현대성우오스타,69000.0
경기도 김포시 장기동,한강현대성우오스타,63800.0
경기도 김포시 장기동,한강현대성우오스타,60000.0
경기도 김포시 통진읍 마송리,현대2,36000.0
경기도 김포시 풍무동,당곡마을(월드메르디앙),54500.0
경기도 김포시 풍무동,당곡마을(현대),42000.0
경기도 김포시 풍무동,유현마을(신동아),51000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),67000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),50000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),58000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),54800.0
경기도 김포시 풍무동,유현마을(현대프라임빌),55000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),61700.0
경기도 김포시 풍무동,유현마을(현대프라임빌),62000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),56000.0
경기도 김포시 풍무동,유현마을(현대프라임빌),58800.0
경기도 김포시 풍무동,장릉마을(삼성쉐르빌),50000.0
경기도 김포시 풍무동,풍무자이,68000.0
