시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202109,4,"24,800",4,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,84.93,202109,16,"22,000",15,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,84.93,202109,17,"22,000",15,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,84.93,202109,30,"24,400",6,1997,경강로2539번길 8,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202109,11,"32,800",7,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202109,15,"24,800",15,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202109,17,"33,700",12,2005,경강로2539번길 22,
강원도 강릉시 교동,1984,1984,0,강릉 교동 풍림아이원 아파트,84.9964,202109,4,"39,500",14,2017,화부산로40번길 29,
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202109,2,"31,300",6,1999,가작로 78,
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202109,3,"16,000",13,1999,가작로 78,
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,202109,6,"18,000",15,1999,가작로 78,
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202109,6,"21,000",12,1999,가작로 78,
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202109,11,"18,500",2,1999,가작로 78,
강원도 강릉시 교동,1767,1767,0,교동2현대,99.88,202109,24,"44,900",10,1999,교동광장로 138-15,
강원도 강릉시 교동,1767,1767,0,교동2현대,134.97,202109,25,"54,500",13,1999,교동광장로 138-15,
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202109,4,"25,500",8,2002,교동광장로 138-12,
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202109,5,"27,000",14,2002,교동광장로 138-12,
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202109,9,"27,000",10,2002,교동광장로 138-12,
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202109,15,"26,000",3,2002,교동광장로 138-12,
강원도 강릉시 교동,18-16,18,16,교동대림,59.84,202109,19,"12,000",6,1997,수리골길17번길 21,
강원도 강릉시 교동,Nov-37,37,11,교동임대,51.66,202109,9,"9,450",5,1987,명륜로 109-4,
강원도 강릉시 교동,834,834,0,덕진,40.86,202109,11,"5,000",1,1988,옛강일길 28,
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202109,1,"26,400",3,2001,하슬라로 124,
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202109,4,"27,900",9,2001,하슬라로 124,
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202109,9,"27,800",3,2001,하슬라로 124,
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202109,11,"27,600",1,2001,하슬라로 124,
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202109,23,"27,500",4,2001,하슬라로 124,
강원도 강릉시 교동,1762,1762,0,부영5,84.93,202109,10,"31,500",3,2001,교동광장로 163,
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,202109,27,"35,000",13,2003,정원로 53-9,
강원도 강릉시 교동,1034,1034,0,정아타워맨션,76.29,202109,1,"13,800",7,1992,화부산로 29,
강원도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,202109,15,"14,100",4,1992,화부산로 29,
강원도 강릉시 교동,780,780,0,제일,68.495,202109,18,"7,200",4,1981,화부산로117번길 7,
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,202109,4,"18,600",11,1997,명륜로 95-7,
강원도 강릉시 교동,Jan-46,46,1,한신,84.98,202109,9,"24,500",9,1997,명륜로 95-7,
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202109,11,"46,000",15,1999,원대로128번길 14,
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202109,15,"44,900",3,1999,원대로128번길 14,
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202109,14,"3,300",3,1988,관대길 63,
강원도 강릉시 내곡동,127,127,0,남산삼익,84.48,202109,9,"14,300",5,1993,남부로125번길 37,
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,202109,15,"9,000",5,1993,남부로125번길 37,
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,202109,3,"5,800",5,1989,관대길16번길 6,
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,202109,16,"10,000",2,1989,관대길16번길 6,
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,202109,17,"8,000",1,1989,관대길16번길 6,
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,202109,8,"22,700",8,1997,강변로 114,
강원도 강릉시 내곡동,Nov-88,88,11,삼창그린,77.715,202109,3,"11,000",5,1995,남부로63번길 53,
강원도 강릉시 노암동,835,835,0,노암2주공,49.22,202109,25,"9,400",3,1984,노가니남길 25,
강원도 강릉시 노암동,367,367,0,노암영진,49.815,202109,7,"6,300",4,1993,노암등길46번길 11,
강원도 강릉시 노암동,390,390,0,노암한라,105.858,202109,10,"19,800",10,1994,노암길42번길 28,
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,202109,13,"5,800",5,1989,임영로25번길 13,
강원도 강릉시 노암동,661,661,0,범아,77.58,202109,6,"8,000",2,1980,임영로25번길 3-6,
강원도 강릉시 노암동,844,844,0,양우내안애,114.6085,202109,24,"33,500",3,2009,강변로 328-8,
강원도 강릉시 노암동,366,366,0,영진노암2차,50.515,202109,1,"7,600",3,1994,남부로163번길 20,
강원도 강릉시 송정동,1063,1063,0,강릉송정 한신더휴,84.9955,202109,11,"40,000",3,2019,경강로 2448,
강원도 강릉시 송정동,940,940,0,삼우은성,84.96,202109,3,"22,000",12,1992,남강초교1길 55,
강원도 강릉시 송정동,Oct-39,39,10,삼익비치맨션,84.544,202109,13,"22,700",7,1992,해안로 107,
강원도 강릉시 연곡면 영진리,336-1,336,1,근화,84.78,202109,16,"12,500",6,1997,영진2길 12-3,
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202109,2,"7,000",5,1999,연주로 132,
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202109,4,"28,700",8,2008,영진3길 15,
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202109,9,"26,000",8,2008,영진3길 15,
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202109,3,"13,700",7,2019,홍질목길 12,
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202109,7,"12,900",5,2019,홍질목길 12,
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202109,14,"12,700",8,2019,홍질목길 12,
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,84.77,202109,4,"50,500",13,2018,선수촌로 113,
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,84.77,202109,4,"51,000",22,2018,선수촌로 113,
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,84.77,202109,6,"49,200",4,2018,선수촌로 113,
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,84.77,202109,10,"52,800",12,2018,선수촌로 113,
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,84.77,202109,30,"53,000",12,2018,선수촌로 113,
강원도 강릉시 입암동,503-2,503,2,강동2,59.64,202109,8,"6,900",6,1991,강변로410번길 37,
강원도 강릉시 입암동,501,501,0,강동3,45.37,202109,4,"5,700",3,1993,강변로410번길 35,
강원도 강릉시 입암동,711,711,0,강릉더샵,74.71,202109,16,"31,700",7,2014,입암로29번길 11,
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,202109,1,"33,400",15,2007,성덕로 328-15,
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,202109,3,"42,900",4,2007,성덕로 328-15,
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,202109,18,"46,900",11,2007,성덕로 328-15,
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,202109,24,"30,800",2,2007,성덕로 328-15,
강원도 강릉시 입암동,496-5,496,5,대목,39.72,202109,13,"6,950",3,1987,용지로 35,
강원도 강릉시 입암동,506-9,506,9,대인3,59.685,202109,1,"8,000",4,1993,강변로410번길 27,
강원도 강릉시 입암동,506-9,506,9,대인3,59.685,202109,3,"10,000",6,1993,강변로410번길 27,
강원도 강릉시 입암동,608-3,608,3,삼우그린,39.96,202109,11,"5,800",8,1996,강변로 458,
강원도 강릉시 입암동,608-3,608,3,삼우그린,59.89,202109,14,"12,000",11,1996,강변로 458,
강원도 강릉시 입암동,543-3,543,3,에버그린,59.85,202109,8,"14,000",6,2000,강변로440번길 30,
강원도 강릉시 입암동,May-90,90,5,은하,39.85,202109,5,"5,500",2,2001,월대산로 47,
강원도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202109,2,"28,000",2,2006,성덕로 316-22,
강원도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202109,8,"27,500",4,2006,성덕로 316-22,
강원도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202109,8,"29,900",5,2006,성덕로 316-22,
강원도 강릉시 입암동,641,641,0,입암1주공,39.72,202109,16,"13,600",4,1986,강변로 364,
강원도 강릉시 입암동,49,49,0,입암2주공,39.3,202109,7,"11,300",5,1990,강변로 508,
강원도 강릉시 입암동,49,49,0,입암2주공,39.3,202109,9,"9,300",5,1990,강변로 508,
강원도 강릉시 입암동,49,49,0,입암2주공,39.69,202109,24,"9,000",5,1990,강변로 508,
강원도 강릉시 입암동,685,685,0,입암5주공,49.97,202109,2,"10,000",4,1996,성덕포남로 89-17,
강원도 강릉시 입암동,685,685,0,입암5주공,49.97,202109,24,"11,600",8,1996,성덕포남로 89-17,
강원도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202109,2,"12,000",14,1998,성덕포남로 39,
강원도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202109,4,"13,000",1,1998,성덕포남로 39,
